n	y[n]	INTEG(y[n])
735	3129	16584
736	3132	16596
737	3120	16608
738	3124	16621
739	3112	16633
740	3116	16645
741	3104	16657
742	3108	16669
743	3095	16681
744	3099	16693
745	3087	16705
746	3091	16717
747	3079	16729
748	3083	16742
749	3071	16754
750	3075	16766
751	3063	16777
752	3067	16789
753	3055	16801
754	3059	16813
755	3047	16825
756	3051	16837
757	3039	16849
758	3043	16861
759	3031	16873
760	3035	16885
761	3023	16896
762	3027	16908
763	3015	16920
764	3019	16932
765	3007	16944
766	3011	16955
767	2999	16967
768	3003	16979
769	2991	16990
770	2995	17002
771	2984	17014
772	2987	17025
773	2976	17037
774	2980	17049
775	2968	17060
776	2972	17072
777	2960	17084
778	2964	17095
779	2953	17107
780	2957	17118
781	2945	17130
782	2949	17141
783	2937	17153
784	2941	17164
785	2930	17176
786	2934	17187
787	2922	17198
788	2926	17210
789	2915	17221
790	2919	17233
791	2907	17244
792	2911	17255
793	2900	17267
794	2904	17278
795	2892	17289
796	2896	17301
797	2885	17312
798	2889	17323
799	2878	17335
800	2881	17346
801	2870	17357
802	2874	17368
803	2863	17379
804	2867	17391
805	2856	17402
806	2859	17413
807	2848	17424
808	2852	17435
809	2841	17446
810	2845	17457
811	2834	17468
812	2838	17480
813	2827	17491
814	2831	17502
815	2820	17513
816	2823	17524
817	2812	17535
818	2816	17546
819	2805	17557
820	2809	17568
821	2798	17579
822	2802	17589
823	2791	17600
824	2795	17611
825	2784	17622
826	2788	17633
827	2777	17644
828	2781	17655
829	2770	17666
830	2774	17676
831	2763	17687
832	2767	17698
833	2756	17709
834	2760	17720
835	2750	17730
836	2753	17741
837	2743	17752
838	2747	17763
839	2736	17773
840	2740	17784
841	2729	17795
842	2733	17805
843	2722	17816
844	2726	17827
845	2716	17837
846	2719	17848
847	2709	17858
848	2713	17869
849	2702	17879
850	2706	17890
851	2696	17901
852	2699	17911
853	2689	17922
854	2693	17932
855	2682	17943
856	2686	17953
857	2676	17964
858	2680	17974
859	2669	17984
860	2673	17995
861	2663	18005
862	2666	18016
863	2656	18026
864	2660	18036
865	2650	18047
866	2653	18057
867	2643	18068
868	2647	18078
869	2637	18088
870	2641	18098
871	2630	18109
872	2634	18119
873	2624	18129
874	2628	18140
875	2618	18150
876	2621	18160
877	2611	18170
878	2615	18180
879	2605	18191
880	2609	18201
881	2599	18211
882	2603	18221
883	2592	18231
884	2596	18241
885	2586	18252
886	2590	18262
887	2580	18272
888	2584	18282
889	2574	18292
890	2578	18302
891	2568	18312
892	2571	18322
893	2561	18332
894	2565	18342
895	2555	18352
896	2559	18362
897	2549	18372
898	2553	18382
899	2543	18392
900	2547	18402
901	2537	18412
902	2541	18422
903	2531	18432
904	2535	18441
905	2525	18451
906	2529	18461
907	2519	18471
908	2523	18481
909	2513	18491
910	2517	18501
911	2507	18510
912	2511	18520
913	2501	18530
914	2505	18540
915	2495	18549
916	2499	18559
917	2490	18569
918	2494	18579
919	2484	18588
920	2488	18598
921	2478	18608
922	2482	18617
923	2472	18627
924	2476	18637
925	2466	18646
926	2470	18656
927	2461	18666
928	2465	18675
929	2455	18685
930	2459	18694
931	2449	18704
932	2453	18714
933	2444	18723
934	2447	18733
935	2438	18742
936	2442	18752
937	2432	18761
938	2436	18771
939	2427	18780
940	2431	18790
941	2421	18799
942	2425	18809
943	2416	18818
944	2419	18828
945	2410	18837
946	2414	18846
947	2404	18856
948	2408	18865
949	2399	18875
950	2403	18884
951	2393	18893
952	2397	18903
953	2388	18912
954	2392	18921
955	2383	18931
956	2386	18940
957	2377	18949
958	2381	18959
959	2372	18968
960	2376	18977
961	2366	18986
962	2370	18996
963	2361	19005
964	2365	19014
965	2356	19023
966	2360	19033
967	2350	19042
968	2354	19051
969	2345	19060
970	2349	19069
971	2340	19078
972	2344	19088
973	2335	19097
974	2338	19106
975	2329	19115
976	2333	19124
977	2324	19133
978	2328	19142
979	2319	19151
980	2323	19160
981	2314	19169
982	2318	19178
983	2309	19187
984	2313	19196
985	2304	19205
986	2307	19214
987	2298	19223
988	2302	19232
989	2293	19241
990	2297	19250
991	2288	19259
992	2292	19268
993	2283	19277
994	2287	19286
995	2278	19295
996	2282	19304
997	2273	19313
998	2277	19322
999	2268	19331
1000	2272	19339
1001	2263	19348
1002	2267	19357
1003	2258	19366
1004	2262	19375
1005	2253	19384
1006	2257	19392
1007	2248	19401
1008	2252	19410
1009	2244	19419
1010	2247	19428
1011	2239	19436
1012	2243	19445
1013	2234	19454
1014	2238	19463
1015	2229	19471
1016	2233	19480
1017	2224	19489
1018	2228	19497
1019	2219	19506
1020	2223	19515
1021	2215	19523
1022	2218	19532
1023	2210	19541
1024	2214	19549
1025	2205	19558
1026	2209	19567
1027	2200	19575
1028	2204	19584
1029	2196	19592
1030	2200	19601
1031	2191	19609
1032	2195	19618
1033	2186	19627
1034	2190	19635
1035	2182	19644
1036	2186	19652
1037	2177	19661
1038	2181	19669
1039	2172	19678
1040	2176	19686
1041	2168	19695
1042	2172	19703
1043	2163	19712
1044	2167	19720
1045	2159	19728
1046	2163	19737
1047	2154	19745
1048	2158	19754
1049	2150	19762
1050	2154	19771
1051	2145	19779
1052	2149	19787
1053	2141	19796
1054	2145	19804
1055	2136	19812
1056	2140	19821
1057	2132	19829
1058	2136	19837
1059	2127	19846
1060	2131	19854
1061	2123	19862
1062	2127	19871
1063	2118	19879
1064	2122	19887
1065	2114	19896
1066	2118	19904
1067	2110	19912
1068	2114	19920
1069	2105	19929
1070	2109	19937
1071	2101	19945
1072	2105	19953
1073	2097	19961
1074	2101	19970
1075	2092	19978
1076	2096	19986
1077	2088	19994
1078	2092	20002
1079	2084	20010
1080	2088	20019
1081	2080	20027
1082	2083	20035
1083	2075	20043
1084	2079	20051
1085	2071	20059
1086	2075	20067
1087	2067	20075
1088	2071	20083
1089	2063	20091
1090	2067	20100
1091	2059	20108
1092	2062	20116
1093	2054	20124
1094	2058	20132
1095	2050	20140
1096	2054	20148
1097	2046	20156
1098	2050	20164
1099	2042	20172
1100	2046	20180
1101	2038	20188
1102	2042	20196
1103	2034	20204
1104	2038	20212
1105	2030	20220
1106	2034	20227
1107	2026	20235
1108	2030	20243
1109	2022	20251
1110	2026	20259
1111	2018	20267
1112	2022	20275
1113	2014	20283
1114	2018	20291
1115	2010	20298
1116	2014	20306
1117	2006	20314
1118	2010	20322
1119	2002	20330
1120	2006	20338
1121	1998	20346
1122	2002	20353
1123	1994	20361
1124	1998	20369
1125	1990	20377
1126	1994	20384
1127	1986	20392
1128	1990	20400
1129	1982	20408
1130	1986	20416
1131	1979	20423
1132	1982	20431
1133	1975	20439
1134	1979	20446
1135	1971	20454
1136	1975	20462
1137	1967	20470
1138	1971	20477
1139	1963	20485
1140	1967	20493
1141	1960	20500
1142	1963	20508
1143	1956	20516
1144	1960	20523
1145	1952	20531
1146	1956	20538
1147	1948	20546
1148	1952	20554
1149	1945	20561
1150	1948	20569
1151	1941	20576
1152	1945	20584
1153	1937	20592
1154	1941	20599
1155	1934	20607
1156	1937	20614
1157	1930	20622
1158	1934	20629
1159	1926	20637
1160	1930	20645
1161	1923	20652
1162	1926	20660
1163	1919	20667
1164	1923	20675
1165	1915	20682
1166	1919	20690
1167	1912	20697
1168	1916	20704
1169	1908	20712
1170	1912	20719
1171	1905	20727
1172	1909	20734
1173	1901	20742
1174	1905	20749
1175	1898	20757
1176	1901	20764
1177	1894	20771
1178	1898	20779
1179	1891	20786
1180	1894	20794
1181	1887	20801
1182	1891	20808
1183	1884	20816
1184	1887	20823
1185	1880	20830
1186	1884	20838
1187	1877	20845
1188	1881	20852
1189	1873	20860
1190	1877	20867
1191	1870	20874
