n	y[n]	INTEG(y[n])
663	744	9219
664	741	9222
665	738	9225
666	735	9228
667	732	9231
668	729	9234
669	726	9236
670	723	9239
671	721	9242
672	718	9245
673	715	9248
674	712	9250
675	709	9253
676	707	9256
677	704	9259
678	701	9261
679	698	9264
680	696	9267
681	693	9270
682	690	9272
683	688	9275
684	685	9278
685	682	9280
686	680	9283
687	677	9286
688	674	9288
689	672	9291
690	669	9294
691	666	9296
692	664	9299
693	661	9301
694	659	9304
695	656	9306
696	653	9309
697	651	9312
698	648	9314
699	646	9317
700	643	9319
701	641	9322
702	638	9324
703	636	9327
704	633	9329
705	631	9332
706	628	9334
707	626	9336
708	624	9339
709	621	9341
710	619	9344
711	616	9346
712	614	9349
713	611	9351
714	609	9353
715	607	9356
716	604	9358
717	602	9360
718	600	9363
719	597	9365
720	595	9367
721	593	9370
722	590	9372
723	588	9374
724	586	9377
725	583	9379
726	581	9381
727	579	9383
728	577	9386
729	574	9388
730	572	9390
731	570	9392
732	568	9395
733	565	9397
734	563	9399
735	561	9401
736	559	9403
737	557	9406
738	554	9408
739	552	9410
740	550	9412
741	548	9414
742	546	9416
743	544	9418
744	542	9420
745	539	9423
746	537	9425
747	535	9427
748	533	9429
749	531	9431
750	529	9433
751	527	9435
752	525	9437
753	523	9439
754	521	9441
755	519	9443
756	517	9445
757	515	9447
758	513	9449
759	511	9451
760	509	9453
761	507	9455
762	505	9457
763	503	9459
764	501	9461
765	499	9463
766	497	9465
767	495	9467
768	493	9469
769	491	9471
770	489	9473
771	487	9475
772	485	9476
773	483	9478
774	482	9480
775	480	9482
776	478	9484
777	476	9486
778	474	9488
779	472	9490
780	470	9491
781	469	9493
782	467	9495
783	465	9497
784	463	9499
785	461	9500
786	459	9502
787	458	9504
788	456	9506
789	454	9508
790	452	9509
791	451	9511
792	449	9513
793	447	9515
794	445	9516
795	444	9518
796	442	9520
797	440	9522
798	438	9523
799	437	9525
800	435	9527
801	433	9528
802	432	9530
803	430	9532
804	428	9533
805	427	9535
806	425	9537
807	423	9538
808	422	9540
809	420	9542
810	418	9543
811	417	9545
812	415	9547
813	413	9548
814	412	9550
815	410	9551
816	409	9553
817	407	9555
818	405	9556
819	404	9558
820	402	9559
821	401	9561
822	399	9562
823	398	9564
824	396	9566
825	394	9567
826	393	9569
827	391	9570
828	390	9572
829	388	9573
830	387	9575
831	385	9576
832	384	9578
833	382	9579
834	381	9581
835	379	9582
836	378	9584
837	376	9585
838	375	9587
839	373	9588
840	372	9589
841	370	9591
842	369	9592
843	368	9594
844	366	9595
845	365	9597
846	363	9598
847	362	9599
848	360	9601
849	359	9602
850	358	9604
851	356	9605
852	355	9606
853	353	9608
854	352	9609
855	351	9611
856	349	9612
857	348	9613
858	347	9615
859	345	9616
860	344	9617
861	343	9619
862	341	9620
863	340	9621
864	339	9623
865	337	9624
866	336	9625
867	335	9627
868	333	9628
869	332	9629
870	331	9631
871	329	9632
872	328	9633
873	327	9634
874	326	9636
875	324	9637
876	323	9638
877	322	9639
878	321	9641
879	319	9642
880	318	9643
881	317	9644
882	316	9646
883	314	9647
884	313	9648
885	312	9649
886	311	9651
887	309	9652
888	308	9653
889	307	9654
890	306	9655
891	305	9657
892	303	9658
893	302	9659
894	301	9660
895	300	9661
896	299	9662
897	298	9664
898	296	9665
899	295	9666
900	294	9667
901	293	9668
902	292	9669
903	291	9670
904	290	9672
905	288	9673
906	287	9674
907	286	9675
908	285	9676
909	284	9677
910	283	9678
911	282	9679
912	281	9680
913	279	9682
914	278	9683
915	277	9684
916	276	9685
917	275	9686
918	274	9687
919	273	9688
920	272	9689
921	271	9690
922	270	9691
923	269	9692
924	268	9693
925	267	9694
926	266	9695
927	265	9696
928	264	9697
929	263	9698
930	261	9699
931	260	9700
932	259	9701
933	258	9702
934	257	9704
935	256	9705
936	255	9705
937	254	9706
938	253	9707
939	252	9708
940	251	9709
941	250	9710
942	250	9711
943	249	9712
944	248	9713
945	247	9714
946	246	9715
947	245	9716
948	244	9717
949	243	9718
950	242	9719
951	241	9720
952	240	9721
953	239	9722
954	238	9723
955	237	9724
956	236	9725
957	235	9726
958	234	9726
959	233	9727
960	233	9728
961	232	9729
962	231	9730
963	230	9731
964	229	9732
965	228	9733
966	227	9734
967	226	9735
968	225	9735
969	224	9736
970	224	9737
971	223	9738
972	222	9739
973	221	9740
974	220	9741
975	219	9742
976	218	9742
977	218	9743
978	217	9744
979	216	9745
980	215	9746
981	214	9747
982	213	9747
983	213	9748
984	212	9749
985	211	9750
986	210	9751
987	209	9752
988	208	9752
989	208	9753
990	207	9754
991	206	9755
992	205	9756
993	204	9756
994	204	9757
995	203	9758
996	202	9759
997	201	9760
998	200	9760
999	200	9761
1000	199	9762
1001	198	9763
1002	197	9763
1003	197	9764
1004	196	9765
1005	195	9766
1006	194	9766
